987 | 1145 | TJ3648 | IOOQ Running | 40
987 | 1137 | ZU5938 | KCUE Running | 147
991 | 991 | XU7199 | ERKB Running | 100
1017 | 1167 | GJ1699 | KCUE Running | 85
1017 | 1175 | XT6977 | IOOQ Running | 372
1021 | 1021 | XU7199 | ERKB Running | 70
1047 | 1205 | LR3134 | IOOQ Running | 196
1047 | 1197 | NL7343 | KCUE Running | 214
1051 | 1051 | XU7199 | ERKB Running | 40
1068 | 1081 | XV8633 | ERKB Running | 205
1077 | 1235 | SI5540 | IOOQ Running | 179
1077 | 1227 | XL2603 | KCUE Running | 135
1081 | 1111 | XU7199 | ERKB Running | 10
1107 | 1257 | HH5200 | KCUE Running | 408
1107 | 1265 | WC5441 | IOOQ Running | 21
1111 | 1121 | XV8633 | ERKB Running | 175
1115 | 1115 | CV9815 | IOOQ Waiting | 256
1121 | 1121 | XU7199 | BRO Running | 179
1136 | 1151 | RP7698 | ERKB Running | 36
1137 | 1287 | GB5475 | KCUE Running | 358
1139 | 1139 | GU2322 | RQYP Running | 452
1145 | 1286 | AD3718 | IOOQ Running | 164
1151 | 1181 | XV8633 | ERKB Running | 145
1167 | 1317 | ZU5938 | KCUE Running | 117
1169 | 1169 | GU2322 | RQYP Running | 422
1175 | 1316 | TJ3648 | IOOQ Running | 10
1181 | 1211 | RP7698 | ERKB Running | 6
1197 | 1347 | GJ1699 | KCUE Running | 55
1199 | 1199 | GU2322 | RQYP Running | 392
1205 | 1326 | XT6977 | IOOQ Running | 342
1211 | 1217 | XV8633 | ERKB Running | 115
1217 | 1217 | RP7698 | WZY Running | 29
1227 | 1377 | NL7343 | KCUE Running | 184
1229 | 1229 | GU2322 | RQYP Running | 362
1235 | 1356 | LR3134 | IOOQ Running | 166
1246 | 1246 | RP7698 | WZY Waiting | 41
1247 | 1247 | XV8633 | ERKB Running | 85
1257 | 1407 | XL2603 | KCUE Running | 105
1259 | 1259 | GU2322 | RQYP Running | 332
1265 | 1386 | SI5540 | IOOQ Running | 149
1277 | 1277 | XV8633 | ERKB Running | 55
1286 | 1286 | WC5441 | IOOQ Waiting | 78
1287 | 1287 | RP7698 | WZY Running | 80
1287 | 1437 | HH5200 | KCUE Running | 378
1289 | 1289 | TG5438 | RQYP Running | 125
1289 | 1319 | GU2322 | RQYP Running | 302
1300 | 1300 | XU7199 | BRO Waiting | 262
1307 | 1307 | XV8633 | ERKB Running | 25
1313 | 1313 | CK2402 | QMS Waiting | 447
1316 | 1416 | AD3718 | IOOQ Running | 134
1317 | 1467 | GB5475 | KCUE Running | 328
1319 | 1349 | TG5438 | RQYP Running | 95
1326 | 1326 | TJ3648 | IOOQ Waiting | 299
1332 | 1367 | XV8633 | WZY Running | 291
1347 | 1497 | ZU5938 | KCUE Running | 87
1349 | 1379 | GU2322 | RQYP Running | 272
1356 | 1446 | XT6977 | IOOQ Running | 312
1364 | 1476 | WC5441 | IOOQ Running | 99
1367 | 1367 | RP7698 | WZY Waiting | 87
1369 | 1527 | MP5810 | KCUE Running | 41
1371 | 1506 | CV9815 | IOOQ Running | 128
1377 | 1557 | GJ1699 | KCUE Running | 25
1379 | 1409 | TG5438 | RQYP Running | 65
1386 | 1536 | LR3134 | IOOQ Running | 136
1407 | 1582 | NL7343 | KCUE Running | 154
1409 | 1439 | GU2322 | RQYP Running | 242
1416 | 1566 | SI5540 | IOOQ Running | 119
1437 | 1612 | XL2603 | KCUE Running | 75
1439 | 1469 | TG5438 | RQYP Running | 35
1446 | 1596 | AD3718 | IOOQ Running | 104
1454 | 1658 | RP7698 | WZY Running | 438
1467 | 1642 | HH5200 | KCUE Running | 348
1469 | 1499 | GU2322 | RQYP Running | 212
1476 | 1626 | XT6977 | IOOQ Running | 282
1497 | 1672 | GB5475 | KCUE Running | 298
1499 | 1529 | TG5438 | RQYP Running | 5
1506 | 1656 | WC5441 | IOOQ Running | 69
1527 | 1702 | ZU5938 | KCUE Running | 57
1529 | 1534 | GU2322 | RQYP Running | 182
1534 | 1534 | TG5438 | ZIP Running | 434
1536 | 1686 | CV9815 | IOOQ Running | 98
1557 | 1732 | MP5810 | KCUE Running | 11
1562 | 1562 | XU7199 | BRO Running | 235
1564 | 1564 | GU2322 | RQYP Running | 152
1566 | 1716 | LR3134 | IOOQ Running | 106
1582 | 1582 | GJ1699 | KCUE Waiting | 409
1594 | 1594 | GU2322 | RQYP Running | 122
1596 | 1746 | SI5540 | IOOQ Running | 89
1612 | 1743 | NL7343 | KCUE Running | 124
1624 | 1624 | GU2322 | RQYP Running | 92
1625 | 1776 | TJ3648 | IOOQ Running | 112
1626 | 1806 | AD3718 | IOOQ Running | 74
1642 | 1773 | XL2603 | KCUE Running | 45
1654 | 1654 | GU2322 | RQYP Running | 62
1656 | 1836 | XT6977 | IOOQ Running | 252
1658 | 1658 | XV8633 | WZY Waiting | 170
1672 | 1803 | HH5200 | KCUE Running | 318
1684 | 1684 | GU2322 | RQYP Running | 32
1686 | 1866 | WC5441 | IOOQ Running | 39
1702 | 1833 | GB5475 | KCUE Running | 268
1714 | 1714 | GU2322 | RQYP Running | 2
1716 | 1716 | GU2322 | YYL Running | 188
1716 | 1896 | CV9815 | IOOQ Running | 68
1732 | 1863 | ZU5938 | KCUE Running | 27
1743 | 1743 | MP5810 | LHI Running | 163
1746 | 1926 | LR3134 | IOOQ Running | 76
1760 | 1760 | CK2402 | QMS Running | 320
1773 | 1890 | NL7343 | KCUE Running | 94
1776 | 1956 | SI5540 | IOOQ Running | 59
1797 | 1797 | XU7199 | BRO Waiting | 254
1803 | 1920 | XL2603 | KCUE Running | 15
1806 | 1986 | TJ3648 | IOOQ Running | 82
1828 | 2096 | XV8633 | WZY Running | 473
1833 | 1935 | HH5200 | KCUE Running | 288
1836 | 2016 | AD3718 | IOOQ Running | 44
1863 | 1965 | GB5475 | KCUE Running | 238
1866 | 2046 | XT6977 | IOOQ Running | 222
1890 | 1890 | ZU5938 | KCUE Waiting | 72
1896 | 2076 | WC5441 | IOOQ Running | 9
1904 | 1904 | GU2322 | YYL Waiting | 222
1906 | 1906 | MP5810 | LHI Waiting | 481
1920 | 1995 | NL7343 | KCUE Running | 64
1926 | 2085 | CV9815 | IOOQ Running | 38
1935 | 1935 | XL2603 | KCUE Waiting | 282
1956 | 2115 | LR3134 | IOOQ Running | 46
1962 | 2025 | ZU5938 | KCUE Running | 483
1965 | 2055 | HH5200 | KCUE Running | 258
1968 | 1968 | TG5438 | ZIP Waiting | 139
1986 | 2145 | SI5540 | IOOQ Running | 29
1991 | 2085 | GJ1699 | KCUE Running | 117
1995 | 2115 | GB5475 | KCUE Running | 208
2016 | 2174 | TJ3648 | IOOQ Running | 52
2025 | 2145 | NL7343 | KCUE Running | 34
2046 | 2204 | AD3718 | IOOQ Running | 14
2051 | 2051 | XU7199 | BRO Running | 267
2055 | 2175 | ZU5938 | KCUE Running | 453
2076 | 2218 | XT6977 | IOOQ Running | 192
2080 | 2080 | CK2402 | QMS Waiting | 141
2085 | 2085 | WC5441 | NVE Running | 428
2085 | 2205 | HH5200 | KCUE Running | 228
2096 | 2096 | RP7698 | WZY Waiting | 468
2107 | 2107 | TG5438 | ZIP Running | 199
2115 | 2248 | CV9815 | IOOQ Running | 8
2115 | 2235 | GJ1699 | KCUE Running | 87
2126 | 2126 | GU2322 | YYL Running | 409
2145 | 2265 | GB5475 | KCUE Running | 178
2145 | 2256 | LR3134 | IOOQ Running | 16
2174 | 2174 | SI5540 | KCG Running | 381
2175 | 2295 | NL7343 | KCUE Running | 4
2204 | 2272 | TJ3648 | IOOQ Running | 22
2205 | 2299 | ZU5938 | KCUE Running | 423
2217 | 2329 | XL2603 | KCUE Running | 11
2218 | 2218 | AD3718 | IOOQ Waiting | 431
2221 | 2221 | CK2402 | QMS Running | 397
2235 | 2340 | HH5200 | KCUE Running | 198
2248 | 2294 | XT6977 | IOOQ Running | 162
2256 | 2513 | CV9815 | NVE Running | 434
2265 | 2370 | GJ1699 | KCUE Running | 57
2272 | 2272 | LR3134 | IOOQ Waiting | 431
2294 | 2294 | TJ3648 | VWD Running | 306
2295 | 2400 | GB5475 | KCUE Running | 148
2299 | 2299 | NL7343 | KCUE Waiting | 223
2306 | 2306 | TG5438 | ZIP Waiting | 176
2318 | 2318 | XU7199 | BRO Waiting | 485
2324 | 2324 | XT6977 | IOOQ Running | 132
2329 | 2430 | ZU5938 | KCUE Running | 393
2340 | 2340 | XL2603 | UGK Running | 125
2354 | 2354 | XT6977 | IOOQ Running | 102
2370 | 2460 | HH5200 | KCUE Running | 168
2384 | 2384 | XT6977 | IOOQ Running | 72
2387 | 2387 | MP5810 | LHI Running | 108
2400 | 2490 | GJ1699 | KCUE Running | 27
2414 | 2414 | XT6977 | IOOQ Running | 42
2430 | 2517 | GB5475 | KCUE Running | 118
2444 | 2444 | XT6977 | IOOQ Running | 12
2456 | 2456 | XT6977 | IOOQ Waiting | 393
2460 | 2547 | ZU5938 | KCUE Running | 363
2465 | 2465 | XL2603 | UGK Waiting | 184
