832 | 983 | ZU2189 | DXVZ Running | 300
838 | 999 | DR7257 | HGFW Running | 369
838 | 958 | JT3277 | OOAZ Running | 105
843 | 963 | TF9145 | ESMH Running | 3
849 | 849 | GI5277 | DXVZ Waiting | 152
849 | 1029 | AY4830 | HGFW Running | 302
855 | 895 | FQ9107 | BQYR Running | 278
863 | 863 | CC5139 | DXVZ Waiting | 318
868 | 988 | AD8511 | OOAZ Running | 27
873 | 966 | LM3957 | ESMH Running | 277
879 | 1059 | NN8794 | HGFW Running | 170
885 | 1089 | VH3678 | HGFW Running | 497
885 | 925 | NH6242 | BQYR Running | 52
893 | 1013 | EH4550 | DXVZ Running | 164
895 | 895 | AF6242 | DJO Running | 496
898 | 1015 | CF7184 | OOAZ Running | 59
903 | 996 | GN7223 | ESMH Running | 368
909 | 1119 | JA4280 | HGFW Running | 379
923 | 1043 | BW1558 | DXVZ Running | 58
925 | 955 | FQ9107 | BQYR Running | 248
928 | 1045 | IE1748 | OOAZ Running | 263
933 | 1026 | SP7534 | ESMH Running | 280
939 | 1149 | ZH5553 | HGFW Running | 6
953 | 1073 | ND2907 | DXVZ Running | 10
955 | 985 | NH6242 | BQYR Running | 22
956 | 1155 | WL1684 | HGFW Running | 320
958 | 1075 | AI4405 | OOAZ Running | 436
963 | 1007 | XY9223 | BQYR Running | 348
963 | 1056 | VD8687 | ESMH Running | 163
966 | 966 | TF9145 | ESMH Waiting | 154
969 | 1185 | TL2982 | HGFW Running | 1
983 | 1083 | ZR8988 | DXVZ Running | 124
985 | 1037 | FQ9107 | BQYR Running | 218
988 | 1105 | JT3277 | OOAZ Running | 75
996 | 1086 | LM3957 | ESMH Running | 247
999 | 1186 | UD2640 | HGFW Running | 81
1001 | 1113 | GI5277 | DXVZ Running | 427
1002 | 1135 | UB9133 | OOAZ Running | 164
1007 | 1007 | NH6242 | BQYR Waiting | 87
1013 | 1143 | ZU2189 | DXVZ Running | 270
1015 | 1015 | AD8511 | OOAZ Waiting | 127
1026 | 1116 | GN7223 | ESMH Running | 338
1029 | 1216 | DR7257 | HGFW Running | 339
1034 | 1165 | HB4869 | OOAZ Running | 88
1037 | 1067 | XY9223 | BQYR Running | 318
1043 | 1195 | YK3785 | OOAZ Running | 191
1043 | 1173 | EH4550 | DXVZ Running | 134
1045 | 1225 | CF7184 | OOAZ Running | 29
1056 | 1146 | SP7534 | ESMH Running | 250
1059 | 1246 | AY4830 | HGFW Running | 272
1067 | 1097 | FQ9107 | BQYR Running | 188
1073 | 1203 | BW1558 | DXVZ Running | 28
1075 | 1254 | IE1748 | OOAZ Running | 233
1080 | 1127 | NH2676 | BQYR Running | 365
1083 | 1083 | ND2907 | DXVZ Waiting | 308
1086 | 1176 | VD8687 | ESMH Running | 133
1089 | 1276 | PX2040 | HGFW Running | 406
1089 | 1306 | NN8794 | HGFW Running | 140
1094 | 1157 | NH6242 | BQYR Running | 243
1097 | 1187 | XY9223 | BQYR Running | 288
1105 | 1284 | AI4405 | OOAZ Running | 406
1113 | 1231 | ZR8988 | DXVZ Running | 94
1116 | 1206 | LM3957 | ESMH Running | 217
1119 | 1336 | VH3678 | HGFW Running | 467
1120 | 1236 | TF9145 | ESMH Running | 483
1127 | 1217 | FQ9107 | BQYR Running | 158
1135 | 1314 | JT3277 | OOAZ Running | 45
1142 | 1344 | AD8511 | OOAZ Running | 138
1143 | 1261 | GI5277 | DXVZ Running | 397
1146 | 1266 | GN7223 | ESMH Running | 308
1149 | 1366 | JA4280 | HGFW Running | 349
1155 | 1155 | ZH5553 | HGFW Waiting | 292
1157 | 1247 | NH2676 | BQYR Running | 335
1164 | 1291 | GB2251 | DXVZ Running | 105
1165 | 1374 | UB9133 | OOAZ Running | 134
1172 | 1277 | QZ7189 | BQYR Running | 74
1173 | 1321 | ZU2189 | DXVZ Running | 240
1176 | 1296 | SP7534 | ESMH Running | 220
1177 | 1404 | TD6914 | OOAZ Running | 476
1181 | 1351 | CC5139 | DXVZ Running | 395
1185 | 1396 | WL1684 | HGFW Running | 290
1186 | 1186 | TL2982 | HGFW Waiting | 132
1187 | 1307 | NH6242 | BQYR Running | 213
1195 | 1434 | HB4869 | OOAZ Running | 58
1198 | 1326 | IB2245 | ESMH Running | 302
1203 | 1381 | EH4550 | DXVZ Running | 104
1206 | 1356 | VD8687 | ESMH Running | 103
1216 | 1426 | UD2640 | HGFW Running | 51
1217 | 1337 | XY9223 | BQYR Running | 258
1225 | 1464 | YK3785 | OOAZ Running | 161
1231 | 1231 | BW1558 | DXVZ Waiting | 77
1236 | 1386 | LM3957 | ESMH Running | 187
1238 | 1367 | TN6868 | BQYR Running | 82
1246 | 1456 | DR7257 | HGFW Running | 309
1247 | 1397 | FQ9107 | BQYR Running | 128
1254 | 1254 | CF7184 | OOAZ Waiting | 428
1261 | 1411 | ZR8988 | DXVZ Running | 64
1266 | 1416 | TF9145 | ESMH Running | 453
1269 | 1446 | MJ4305 | ESMH Running | 111
1276 | 1486 | AY4830 | HGFW Running | 242
1277 | 1427 | NH2676 | BQYR Running | 305
1284 | 1494 | IE1748 | OOAZ Running | 203
1291 | 1441 | GI5277 | DXVZ Running | 367
1296 | 1476 | GN7223 | ESMH Running | 278
1306 | 1516 | PX2040 | HGFW Running | 376
1307 | 1546 | ZT7628 | HGFW Running | 76
1307 | 1457 | QZ7189 | BQYR Running | 44
1308 | 1471 | BW1558 | DXVZ Running | 178
1314 | 1524 | AI4405 | OOAZ Running | 376
