2749 | 2749 | MZ3942 | DRT Running | 477
2755 | 2755 | WR2564 | PVUW Running | 272
2785 | 2785 | WR2564 | PVUW Running | 242
2815 | 2815 | WR2564 | PVUW Running | 212
2845 | 2845 | WR2564 | PVUW Running | 182
2874 | 2874 | RC8827 | TGV Waiting | 107
2875 | 2875 | WR2564 | PVUW Running | 152
2905 | 2905 | WR2564 | PVUW Running | 122
2935 | 2935 | WR2564 | PVUW Running | 92
2965 | 2965 | WR2564 | PVUW Running | 62
2981 | 2981 | RC8827 | TGV Running | 247
2995 | 2995 | WR2564 | PVUW Running | 32
3006 | 3025 | SB8199 | PVUW Running | 336
3025 | 3055 | WR2564 | PVUW Running | 2
3055 | 3057 | SB8199 | PVUW Running | 306
3057 | 3057 | WR2564 | CQT Running | 289
3087 | 3087 | SB8199 | PVUW Running | 276
3117 | 3117 | SB8199 | PVUW Running | 246
3147 | 3147 | SB8199 | PVUW Running | 216
3177 | 3177 | SB8199 | PVUW Running | 186
3207 | 3207 | SB8199 | PVUW Running | 156
3226 | 3226 | MZ3942 | DRT Waiting | 328
3228 | 3228 | RC8827 | TGV Waiting | 312
3237 | 3237 | SB8199 | PVUW Running | 126
3267 | 3267 | SB8199 | PVUW Running | 96
3297 | 3297 | SB8199 | PVUW Running | 66
3327 | 3327 | SB8199 | PVUW Running | 36
3346 | 3346 | WR2564 | CQT Waiting | 235
3357 | 3357 | SB8199 | PVUW Running | 6
3363 | 3363 | SB8199 | PVUW Waiting | 425
3540 | 3540 | RC8827 | TGV Running | 156
3554 | 3554 | MZ3942 | DRT Running | 138
3581 | 3581 | WR2564 | CQT Running | 53
3634 | 3634 | WR2564 | CQT Waiting | 228
3692 | 3692 | MZ3942 | FHTG Running | 322
3696 | 3696 | RC8827 | TGV Waiting | 345
3722 | 3722 | MZ3942 | FHTG Running | 292
3752 | 3752 | MZ3942 | FHTG Running | 262
3782 | 3782 | MZ3942 | FHTG Running | 232
3788 | 3788 | SB8199 | PVUW Running | 469
3812 | 3812 | MZ3942 | FHTG Running | 202
3818 | 3818 | SB8199 | PVUW Running | 439
3842 | 3842 | MZ3942 | FHTG Running | 172
3848 | 3848 | SB8199 | PVUW Running | 409
3862 | 3862 | WR2564 | CQT Running | 207
3872 | 3872 | MZ3942 | FHTG Running | 142
3878 | 3878 | SB8199 | PVUW Running | 379
3902 | 3902 | MZ3942 | FHTG Running | 112
3908 | 3908 | SB8199 | PVUW Running | 349
3932 | 3932 | MZ3942 | FHTG Running | 82
3938 | 3938 | SB8199 | PVUW Running | 319
3962 | 3962 | MZ3942 | FHTG Running | 52
3968 | 3968 | SB8199 | PVUW Running | 289
3992 | 3992 | MZ3942 | FHTG Running | 22
3998 | 3998 | SB8199 | PVUW Running | 259
4014 | 4014 | MZ3942 | FHTG Waiting | 32
4028 | 4028 | SB8199 | PVUW Running | 229
4041 | 4041 | RC8827 | TGV Running | 9
4046 | 4046 | MZ3942 | FHTG Running | 432
4050 | 4076 | RC8827 | FHTG Running | 411
4058 | 4058 | SB8199 | PVUW Running | 199
4069 | 4069 | WR2564 | CQT Waiting | 491
4076 | 4106 | MZ3942 | FHTG Running | 402
4088 | 4088 | SB8199 | PVUW Running | 169
4106 | 4136 | RC8827 | FHTG Running | 381
4118 | 4118 | SB8199 | PVUW Running | 139
4136 | 4166 | MZ3942 | FHTG Running | 372
4148 | 4148 | SB8199 | PVUW Running | 109
4166 | 4196 | RC8827 | FHTG Running | 351
4178 | 4178 | SB8199 | PVUW Running | 79
4196 | 4226 | MZ3942 | FHTG Running | 342
4208 | 4208 | SB8199 | PVUW Running | 49
4226 | 4256 | RC8827 | FHTG Running | 321
4238 | 4238 | SB8199 | PVUW Running | 19
4256 | 4286 | MZ3942 | FHTG Running | 312
4257 | 4257 | SB8199 | CQT Running | 376
4286 | 4316 | RC8827 | FHTG Running | 291
4316 | 4346 | MZ3942 | FHTG Running | 282
4346 | 4376 | RC8827 | FHTG Running | 261
4376 | 4406 | MZ3942 | FHTG Running | 252
4406 | 4436 | RC8827 | FHTG Running | 231
4436 | 4466 | MZ3942 | FHTG Running | 222
4466 | 4496 | RC8827 | FHTG Running | 201
4496 | 4526 | MZ3942 | FHTG Running | 192
4526 | 4556 | RC8827 | FHTG Running | 171
