746 | 806 | JS9426 | SRBM Running | 355
761 | 911 | MV9271 | ALIV Running | 1
762 | 792 | KZ5553 | FJSX Running | 372
767 | 947 | QJ6920 | FFTC Running | 334
769 | 829 | NN2959 | EOUY Running | 415
776 | 836 | UK2328 | SRBM Running | 59
788 | 822 | LR7917 | FJSX Running | 81
791 | 912 | QL3937 | ALIV Running | 132
792 | 852 | RX8056 | FJSX Running | 6
797 | 977 | ID5328 | FFTC Running | 459
798 | 1007 | RR4818 | FFTC Running | 164
799 | 859 | RB5112 | EOUY Running | 458
802 | 889 | SU6401 | EOUY Running | 84
805 | 805 | RT4035 | NSI Running | 235
806 | 866 | AM1241 | SRBM Running | 144
819 | 858 | MN7646 | FJSX Running | 470
821 | 942 | MO4112 | ALIV Running | 159
822 | 888 | KZ5553 | FJSX Running | 342
827 | 1037 | OJ8092 | FFTC Running | 148
829 | 919 | RH2097 | EOUY Running | 131
836 | 896 | JS9426 | SRBM Running | 325
851 | 972 | JY3265 | ALIV Running | 311
852 | 918 | LR7917 | FJSX Running | 51
857 | 1067 | RE5250 | FFTC Running | 325
858 | 858 | RX8056 | FJSX Waiting | 130
859 | 949 | HH7831 | EOUY Running | 470
859 | 979 | NN2959 | EOUY Running | 385
866 | 926 | UK2328 | SRBM Running | 29
881 | 1002 | GU6400 | ALIV Running | 227
887 | 1009 | BJ4358 | EOUY Running | 213
887 | 1097 | AB7275 | FFTC Running | 334
888 | 948 | MN7646 | FJSX Running | 440
889 | 1039 | RB5112 | EOUY Running | 428
896 | 955 | AM1241 | SRBM Running | 114
911 | 1032 | NV1107 | ALIV Running | 316
912 | 912 | MV9271 | ALIV Waiting | 206
917 | 1127 | QD3715 | FFTC Running | 309
918 | 978 | KZ5553 | FJSX Running | 312
919 | 1069 | SU6401 | EOUY Running | 54
920 | 1062 | VF5011 | ALIV Running | 91
922 | 922 | OO8864 | VNG Waiting | 74
926 | 985 | JS9426 | SRBM Running | 295
942 | 1092 | QL3937 | ALIV Running | 102
947 | 1157 | SE6819 | FFTC Running | 260
948 | 1008 | LR7917 | FJSX Running | 21
949 | 1099 | RH2097 | EOUY Running | 101
955 | 955 | UK2328 | SRBM Waiting | 134
970 | 1029 | PS5394 | FJSX Running | 267
972 | 1122 | MO4112 | ALIV Running | 129
975 | 1152 | IK3661 | ALIV Running | 265
977 | 1187 | QJ6920 | FFTC Running | 304
978 | 1059 | MN7646 | FJSX Running | 410
979 | 1129 | HH7831 | EOUY Running | 440
983 | 1182 | HJ9644 | ALIV Running | 91
985 | 1015 | AM1241 | SRBM Running | 84
988 | 1089 | RX8056 | FJSX Running | 219
996 | 1119 | IC8737 | FJSX Running | 149
996 | 996 | OO8864 | VNG Running | 49
1002 | 1212 | JY3265 | ALIV Running | 281
1004 | 1217 | ZG7490 | FFTC Running | 20
1007 | 1237 | ID5328 | FFTC Running | 429
1008 | 1149 | KZ5553 | FJSX Running | 282
1009 | 1159 | NN2959 | EOUY Running | 355
1015 | 1045 | JS9426 | SRBM Running | 265
