585 | 585 | AR5532 | VATX Running | 467
585 | 585 | QJ4589 | FKIV Running | 122
585 | 585 | QU3910 | FLNB Running | 158
587 | 587 | YS5313 | WOGG Running | 192
593 | 593 | XD7042 | IYDM Running | 340
595 | 595 | MG8205 | ZDEY Running | 307
595 | 595 | XO3259 | COUC Running | 84
598 | 598 | II7761 | ZTXV Running | 32
599 | 599 | FW6957 | WCXY Running | 286
604 | 604 | VL5374 | OJGN Running | 185
608 | 608 | XZ7278 | IWEJ Running | 90
609 | 609 | JC5084 | IZHF Running | 108
610 | 610 | HL2348 | XODE Running | 18
611 | 611 | PE6014 | EKY Waiting | 447
613 | 613 | BW4028 | ZODI Running | 155
615 | 615 | AR5532 | VATX Running | 437
615 | 615 | QJ4589 | FKIV Running | 92
615 | 615 | QU3910 | FLNB Running | 128
617 | 617 | YS5313 | WOGG Running | 162
623 | 623 | XD7042 | IYDM Running | 310
625 | 625 | MG8205 | ZDEY Running | 277
625 | 625 | XO3259 | COUC Running | 54
628 | 628 | HL2348 | XODE Waiting | 371
628 | 628 | II7761 | ZTXV Running | 2
629 | 629 | FW6957 | WCXY Running | 256
630 | 630 | II7761 | WAT Running | 284
634 | 634 | VL5374 | OJGN Running | 155
638 | 638 | XZ7278 | IWEJ Running | 60
639 | 639 | JC5084 | IZHF Running | 78
643 | 643 | BW4028 | ZODI Running | 125
645 | 645 | AR5532 | VATX Running | 407
645 | 645 | QJ4589 | FKIV Running | 62
645 | 645 | QU3910 | FLNB Running | 98
647 | 647 | YS5313 | WOGG Running | 132
653 | 653 | XD7042 | IYDM Running | 280
655 | 655 | MG8205 | ZDEY Running | 247
655 | 655 | XO3259 | COUC Running | 24
659 | 659 | FW6957 | WCXY Running | 226
664 | 664 | VL5374 | OJGN Running | 125
668 | 668 | XZ7278 | IWEJ Running | 30
669 | 669 | JC5084 | IZHF Running | 48
670 | 670 | GC9521 | CJTY Running | 392
673 | 673 | BW4028 | ZODI Running | 95
675 | 675 | AR5532 | VATX Running | 377
675 | 675 | QJ4589 | FKIV Running | 32
675 | 675 | QU3910 | FLNB Running | 68
677 | 677 | YS5313 | WOGG Running | 102
679 | 679 | XO3259 | COUC Waiting | 183
683 | 683 | XD7042 | IYDM Running | 250
685 | 685 | MG8205 | ZDEY Running | 217
689 | 689 | FW6957 | WCXY Running | 196
694 | 694 | VL5374 | OJGN Running | 95
698 | 698 | XZ7278 | IWEJ Waiting | 124
699 | 699 | JC5084 | IZHF Running | 18
700 | 700 | GC9521 | CJTY Running | 362
702 | 702 | OZ9719 | XDZS Running | 500
703 | 703 | BW4028 | ZODI Running | 65
705 | 705 | RK3997 | DGSE Running | 65
705 | 705 | AR5532 | VATX Running | 347
705 | 705 | QJ4589 | FKIV Running | 2
705 | 705 | QU3910 | FLNB Running | 38
706 | 706 | UR2397 | LJTV Running | 50
707 | 707 | QJ4589 | FKIV Waiting | 23
707 | 707 | YS5313 | WOGG Running | 72
713 | 713 | XD7042 | IYDM Running | 220
714 | 714 | DD9967 | TCXS Running | 318
715 | 715 | MG8205 | ZDEY Running | 187
717 | 717 | JC5084 | IZHF Waiting | 450
719 | 719 | FW6957 | WCXY Running | 166
724 | 724 | VL5374 | OJGN Running | 65
727 | 727 | PX1184 | IYOH Running | 134
