1380 | 1380 | MS3124 | IJSM Waiting | 307
1409 | 1529 | HS5200 | QOUU Running | 425
1439 | 1559 | KN3596 | QOUU Running | 12
1469 | 1571 | TA8105 | QOUU Running | 230
1480 | 1678 | NR2236 | LMZ Running | 121
1499 | 1601 | LA6163 | QOUU Running | 85
1529 | 1631 | VQ3814 | QOUU Running | 14
1559 | 1645 | HS5200 | QOUU Running | 395
1571 | 1571 | KN3596 | VBQ Running | 314
1586 | 1586 | NP7136 | HVX Waiting | 139
1601 | 1675 | TA8105 | QOUU Running | 200
1631 | 1705 | LA6163 | QOUU Running | 55
1645 | 1645 | VQ3814 | QOUU Waiting | 37
1648 | 1648 | BV4449 | IJSM Running | 76
1675 | 1735 | HS5200 | QOUU Running | 365
1678 | 1678 | GR6984 | LMZ Waiting | 469
1678 | 1678 | BV4449 | IJSM Running | 46
1682 | 1765 | VQ3814 | QOUU Running | 438
1687 | 1708 | MS3124 | IJSM Running | 393
1705 | 1795 | TA8105 | QOUU Running | 170
1708 | 1738 | BV4449 | IJSM Running | 16
1725 | 1725 | NP7136 | HVX Running | 94
1735 | 1825 | LA6163 | QOUU Running | 25
1738 | 1754 | MS3124 | IJSM Running | 363
1754 | 1799 | BV4449 | LMZ Running | 366
1765 | 1850 | HS5200 | QOUU Running | 335
1784 | 1784 | MS3124 | IJSM Running | 333
1795 | 1880 | VQ3814 | QOUU Running | 408
1799 | 1799 | NR2236 | LMZ Waiting | 1
1800 | 2165 | NR2236 | LMZ Running | 41
1814 | 1814 | MS3124 | IJSM Running | 303
1819 | 1819 | NP7136 | HVX Waiting | 83
1825 | 1910 | TA8105 | QOUU Running | 140
1844 | 1844 | MS3124 | IJSM Running | 273
1850 | 1850 | LA6163 | SHN Running | 25
1874 | 1874 | MS3124 | IJSM Running | 243
1875 | 1875 | LA6163 | SHN Waiting | 148
1880 | 1940 | HS5200 | QOUU Running | 305
1885 | 1885 | KN3596 | VBQ Waiting | 243
1902 | 1902 | NP7136 | HVX Running | 280
1904 | 1904 | MS3124 | IJSM Running | 213
1910 | 1970 | VQ3814 | QOUU Running | 378
1934 | 1934 | MS3124 | IJSM Running | 183
1940 | 2000 | TA8105 | QOUU Running | 110
1964 | 1964 | MS3124 | IJSM Running | 153
1970 | 2030 | HS5200 | QOUU Running | 275
1994 | 1994 | MS3124 | IJSM Running | 123
2000 | 2060 | VQ3814 | QOUU Running | 348
2023 | 2023 | LA6163 | SHN Running | 83
2024 | 2024 | MS3124 | IJSM Running | 93
2030 | 2090 | TA8105 | QOUU Running | 80
2054 | 2054 | MS3124 | IJSM Running | 63
2060 | 2120 | HS5200 | QOUU Running | 245
2084 | 2084 | MS3124 | IJSM Running | 33
2090 | 2150 | VQ3814 | QOUU Running | 318
2106 | 2106 | LA6163 | SHN Waiting | 117
2114 | 2114 | MS3124 | IJSM Running | 3
